z.	……
[	「
]	」
x	ん
a	あ
i	い
u	う
e	え
o	お
za	ぁ
zi	ぃ
zu	ぅ
ze	ぇ
zo	ぉ
q	や
zq	ゃ
l	ゆ
zl	ゅ
y	よ
zy	ょ
ka	か
kv	かい
ck	かん
ci	き
kn	きん
ku	く
kt	くん
ke	け
kp	けい
km	けん
ko	こ
kd	こう
kh	こん
ga	が
gb	がい
gv	がい
gk	がん
gi	ぎ
gn	ぎん
gu	ぐ
gt	ぐん
ge	げ
gp	げい
gm	げん
go	ご
gd	ごう
gh	ごん
sa	さ
sv	さい
sk	さん
si	し
sc	しい
sn	しん
su	す
st	すん
se	せ
sp	せい
sm	せん
so	そ
sd	そう
sh	そん
va	ざ
vv	ざい
vk	ざん
vh	ぞん
ji	じ
vi	じ
vn	じん
vu	ず
ve	ぜ
vp	ぜい
vm	ぜん
vo	ぞ
vd	ぞう
ja	じゃ
jq	じゃく
ju	じゅ
jl	じゅう
jo	じょ
jp	じょう
je	じぇ
ta	た
tb	たい
tv	たい
tk	たん
ti	ち
tn	ちん
tu	つ
te	て
to	と
td	とう
th	とん
da	だ
dk	だん
du	づ
de	で
do	ど
dd	どう
dh	どん
na	な
nv	ない
nk	なん
ni	に
nx	にん
nu	ぬ
ne	ね
no	の
nd	のう
ha	は
hv	はい
hk	はん
fk	はん
hi	ひ
fn	ひん
hx	ほん
hn	ひん
fu	ふ
ht	ふん
he	へ
fp	へい
hm	へん
ho	ほ
hd	ほう
fh	ほん
ba	ば
bk	ばん
bi	び
bn	びん
bu	ぶ
bt	ぶん
be	べ
bp	べい
bm	べん
bo	ぼ
bd	ぼう
bh	ぼん
pa	ぱ
pk	ぱん
pi	ぴ
pn	ぴん
pu	ぷ
pt	ぷん
pe	ぺ
pm	ぺん
po	ぽ
pd	ぽう
ph	ぽん
ma	ま
mk	まん
mi	み
mn	みん
mu	む
mt	むん
me	め
mx	もん
mm	めん
mo	も
md	もう
mh	もんだい
ra	ら
rk	らん
ri	り
rn	りん
ru	る
rt	るん
re	れ
rp	れい
rm	れん
ro	ろ
rd	ろう
rh	ろん
wa	わ
wk	わん
wi	うぃ
we	うぇ
wo	を
wy	うぉ
;	っ
kq	きゃく
kl	きゅ
ky	きょ
kw	きょう
cy	ちょ
cl	きゅう
gj	ぎゃ
gq	ぎゃく
gl	ぎゅ
gw	ぎょう
gy	ぎょ
cje	しぇ
sj	しゃ
sq	しゃく
sl	しゅ
sy	しょ
tq	ちゃく
tl	ちゅう
cu	ちゅ
ty	ちょ
cn	ちゃん
ce	ちぇ
co	こ
cw	ちょう
tji	てぃ
di	でぃ
dl	でゅ
tw	つい
tje	とぇ
tju	とぅ
dju	どぅ
nq	にゃ
nj	にゃ
nl	にゅ
ny	にょ
hj	ひゃ
hq	ひゃく
hl	ひゅ
hy	ひょ
hw	ひょう
bq	びゃ
bl	びゅ
by	びょ
bw	びょう
pq	ぴゃ
pl	ぴゅ
py	ぴょ
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
mj	みゃ
mq	みゃく
ml	みゅ
my	みょ
mw	みょう
rj	りゃ
rq	りゃく
ry	りょ
rw	りょう
rl	りゅ
rq	りょく
dv	だい
db	だい
mp	めい
tp	てい
rb	らい
tm	てん
mv	まい
hh	ほん
nn	にん
pv	ぱい
nm	ねん
ca	ちゃ
dm	でん
sw	しょう
jw	じょう
fm	へん
nw	にょう
ds	です
ms	ます
np	ねい
mr	●
pw	ぴょう
dc	でき
-	ー
jt	じゅん
sr	する
pr	ぷろ
gr	ぐら
ts	てき
nr	なる
kr	～
wl	ヴ	z
rv	らい
z[	『』
bv	ばい
zd	――
z]	【】
z'	""
jh	ほん
k3	けた
g3	げた
s8	せた
v8	ぜた
t3	てた
d8	でた
n3	ねた
h3	へた
b3	べた
p3	ぺた
m3	めた
r3	れた
k;	こく
c;	こく
g;	ごく
s;	そく
v;	ぞく
t;	とく
d;	どく
n;	のく
h;	ほく
b;	ぼく
p]	ぽく
m;	もく
r;	ろく
k[	かく
c[	かく
g[	がく
s[	さく
v[	ざく
t[	たく
d[	だく
n[	なく
h[	はく
b[	ばく
p[	ぱく
m[	まく
r[	らく
kj	きゃ
3m	ため
cp	けい
ch	こん
jx	じん
wn	うぃん
dn	でぃん
jm	ねん
jn	じん
dw	でしょう
z;	⇔
wu	ヴ
who	うぉ
fl	ふゅ
